listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price
1310393,6812,88,388,7069,2018.0,57,3160,1,185,0,1257.0,81.0,0,999.0,3.0,13130.0,32699,392.0,25182.0,84000.0,17008.0,17008.0,2,1391,0,16560,2040,,61800.0
1303742,2268,31,298,17646,2017.0,57,2901,3,185,0,1345.0,93.0,0,1591.0,1.0,13700.0,46778,738.0,23273.0,129714.0,12579.0,12579.0,2,1391,0,3023,6153,,50500.0
1308267,2059,29,274,12,2015.0,57,2416,4,189,0,1855.0,129.0,0,2356.0,2.0,20010.0,57501,1630.0,25993.0,70000.0,28300.0,31620.0,2,1391,0,5377,15758,,45800.0
1331707,2170,29,692,432,2008.0,57,844,4,31,0,1350.0,103.0,0,1799.0,1.0,12860.0,31553,1467.0,13442.0,115000.0,17446.0,6947.0,2,1391,0,12594,610,,54800.0
1317770,6780,92,161,16016,2017.0,57,2993,2,189,0,1716.0,206.0,0,1984.0,1.0,22110.0,53711,1194.0,54192.0,63161.0,44874.0,54824.0,2,1391,0,16034,1350,,103800.0
1280239,3289,49,41,2404,2017.0,57,2744,3,119,0,1331.0,88.0,0,1496.0,1.0,15130.0,48401,682.0,21745.0,102151.0,19672.0,14672.0,2,1391,0,1306,15392,,47800.0
1311200,1344,6,234,6012,2022.0,57,4372,6,189,0,2335.0,404.0,0,3996.0,1.0,116950.0,107889,3944.0,485041.0,1702.0,268927.0,531640.0,2,1391,0,11404,11520,,1288888.0
1261606,762,8,70,12,2016.0,57,2674,2,189,0,1540.0,185.0,0,1998.0,3.0,26250.0,56206,1210.0,48636.0,63000.0,47372.0,58321.0,2,1391,0,3937,1067,,92888.0
1307612,4015,51,287,12,2008.0,57,877,2,36,0,1605.0,150.0,0,2497.0,2.0,10510.0,31553,2694.0,14350.0,185000.0,55328.0,55328.0,2,1391,0,5710,12458,,47800.0
1156588,1687,29,242,12,2016.0,57,2502,8,119,0,1574.0,140.0,0,2354.0,3.0,15870.0,46502,1628.0,27206.0,86000.0,30143.0,34201.0,2,1391,0,14884,13775,,45800.0
1297473,4219,51,382,3937,2019.0,57,3549,8,119,0,1735.0,155.0,0,1991.0,1.0,24340.0,41805,1202.0,63175.0,105000.0,43770.0,53278.0,2,1391,0,5072,11697,,161800.0
1316791,2102,29,653,16702,2018.0,57,3315,7,189,0,1130.0,97.0,0,1496.0,2.0,14240.0,26301,682.0,19110.0,47000.0,19924.0,9924.0,2,1391,0,9533,11022,,70800.0
1220223,1002,8,116,3524,2020.0,193,4408,2,78,0,1875.0,250.0,0,2998.0,1.0,15850.0,118990,2384.0,28968.0,17000.0,82130.0,142816.0,2,1391,0,8257,11351,,358800.0
1316595,3866,51,157,7654,2014.0,130,2917,2,78,0,1405.0,155.0,0,1991.0,3.0,15850.0,50000,1202.0,28968.0,84000.0,12360.0,12360.0,2,1391,0,7000,14969,,72333.0
1292920,4286,51,157,14868,2022.0,57,4310,8,156,0,2505.0,243.0,0,2925.0,1.0,44570.0,108006,3268.0,194953.0,52000.0,89365.0,136603.0,2,1391,0,7537,8800,,450000.0
1315719,517,8,24,19427,2018.0,57,3102,4,185,0,1480.0,75.0,0,1499.0,3.0,13980.0,38001,684.0,39297.0,163888.0,32789.0,37905.0,2,1391,0,8700,6505,,72888.0
1318177,1708,29,219,13197,2018.0,57,3100,3,194,0,1096.0,88.0,0,1497.0,2.0,13020.0,38389,684.0,25705.0,95000.0,17233.0,17233.0,2,1391,0,1177,12727,,57800.0
1233861,5621,82,144,4662,2011.0,57,1523,9,31,0,1800.0,111.0,0,1998.0,3.0,9570.0,39522,1107.0,28293.0,106000.0,16282.0,16282.0,2,144,0,4899,3293,,68500.0
1322689,2382,34,253,12,2012.0,57,1772,9,10,1,11800.0,111.0,0,15681.0,1.0,25730.0,26442,1107.0,16155.0,84000.0,102219.0,5111.0,2,171,0,16026,2040,,78600.0
1278703,1071,8,487,14295,2019.0,176,4262,6,78,0,1570.0,317.0,0,2979.0,1.0,15850.0,90002,2362.0,28968.0,38000.0,46215.0,56701.0,2,1391,0,9219,7374,,260800.0
1309998,237,4,576,589,2019.0,57,3334,8,119,0,1315.0,85.0,0,999.0,1.0,16260.0,26659,392.0,31345.0,90000.0,24924.0,26894.0,2,1391,0,113,7435,,89800.0
1298065,7208,93,733,19543,2015.0,57,2420,1,235,0,1450.0,90.0,0,1498.0,3.0,14230.0,56989,684.0,18889.0,113000.0,22664.0,18730.0,2,1391,0,2134,15625,,30800.0
1302614,4453,54,163,511,2016.0,57,2657,8,185,0,1355.0,110.0,0,1998.0,1.0,14090.0,55501,1210.0,24532.0,84000.0,19041.0,19041.0,2,1391,0,16669,2040,,42800.0
1300839,6039,88,156,2138,2014.0,57,2118,3,180,0,1205.0,90.0,0,1598.0,1.0,15850.0,62890,742.0,8427.0,90000.0,18650.0,13650.0,2,1391,0,16515,2040,,16888.0
1326869,4752,58,200,16195,2016.0,57,2907,9,241,1,1800.0,111.0,0,2953.0,1.0,10570.0,42809,1107.0,13159.0,120381.0,26468.0,1324.0,2,659,0,16397,2040,,32500.0
1292655,6831,92,388,18348,2015.0,57,2590,1,119,0,1249.0,92.0,0,1395.0,2.0,15830.0,53000,624.0,17656.0,109000.0,20513.0,10719.0,2,1391,0,836,14114,,38888.0
1324019,2108,29,653,10971,2018.0,57,3116,7,187,0,1190.0,101.0,4,1496.0,2.0,14890.0,38700,682.0,18094.0,65000.0,20960.0,5000.0,2,1391,0,9549,10417,,59600.0
1227438,6324,88,406,4981,2008.0,57,1047,8,31,0,1600.0,118.0,0,2362.0,5.0,11920.0,37941,2457.0,20010.0,130650.0,27778.0,27778.0,2,1391,0,13699,9538,,62888.0
1288491,2610,39,215,15361,2014.0,57,2126,3,43,0,1295.0,95.0,0,1591.0,2.0,11850.0,39241,738.0,38273.0,112000.0,13767.0,8767.0,2,1391,0,2738,10750,,57800.0
1320848,2444,36,417,624,2021.0,57,4071,8,177,0,2208.0,294.0,2,1797.0,1.0,24030.0,82501,4086.0,122194.0,33000.0,79889.0,80801.0,2,1391,0,15198,16902,,219800.0
1324961,6198,88,313,13470,2008.0,57,723,4,36,0,1750.0,125.0,0,2362.0,4.0,12910.0,50578,2457.0,17973.0,170000.0,28187.0,28187.0,2,1391,0,5343,15078,,45888.0
1328180,2208,31,169,2989,2009.0,57,894,3,39,0,1264.0,89.0,0,1591.0,5.0,9910.0,25727,1107.0,11475.0,140000.0,11635.0,336.0,2,1391,0,9593,3639,,44188.0
1254532,4889,58,584,15608,2017.0,57,2778,8,185,0,1285.0,85.0,0,1197.0,1.0,14340.0,50789,508.0,22315.0,81368.0,18583.0,13583.0,2,1391,0,9464,10621,,46800.0
1313320,3048,88,235,12934,2011.0,57,1633,1,36,0,1295.0,88.0,0,1598.0,2.0,14850.0,27020,965.0,13754.0,84000.0,25966.0,25966.0,2,1391,0,15731,15299,,37800.0
1317433,6386,88,408,6997,2012.0,57,1734,0,36,0,2180.0,111.0,0,2982.0,3.0,13730.0,26276,1107.0,15996.0,84000.0,54645.0,2733.0,2,169,0,16680,2040,,41800.0
1304869,2230,31,169,7893,2009.0,57,1018,3,11,0,1264.0,89.0,0,1591.0,4.0,10010.0,26175,1107.0,12765.0,199661.0,11216.0,11216.0,2,1391,0,2633,9657,,48800.0
1210246,2998,52,323,3343,1995.0,57,206,6,39,0,1480.0,111.0,0,1796.0,6.0,11050.0,32279,1461.0,14141.0,91000.0,30259.0,42363.0,2,1391,0,13643,4196,,48400.0
1332231,2961,44,613,4164,2023.0,57,4506,8,131,0,1960.0,184.0,4,2487.0,1.0,34670.0,150001,1784.0,180001.0,8000.0,73915.0,120788.0,2,1391,0,5489,3772,,377800.0
1317894,3346,49,14,5494,2016.0,57,2542,2,185,0,1513.0,141.0,0,2488.0,3.0,12510.0,49700,1786.0,26306.0,109062.0,27853.0,30995.0,2,1391,0,13708,12443,,38800.0
1240805,6863,92,388,9753,2018.0,57,3380,1,189,0,1270.0,92.0,0,1395.0,2.0,15870.0,27000,624.0,31987.0,44000.0,24707.0,26590.0,2,1391,0,3644,11217,,91888.0
1312950,2670,39,691,6873,2020.0,57,3718,8,180,0,1185.0,88.0,0,998.0,1.0,14170.0,38504,392.0,30766.0,34296.0,19037.0,9037.0,2,1391,0,12113,527,,92800.0
1311457,3324,49,41,2461,2019.0,57,3783,3,178,0,1397.0,88.0,4,1496.0,1.0,15330.0,37690,682.0,34489.0,72000.0,26036.0,13451.0,2,1391,0,1855,15823,,105988.0
1293057,5561,75,473,12,2017.0,57,3246,7,119,0,1259.0,85.0,0,999.0,1.0,12750.0,28199,392.0,32338.0,94000.0,25933.0,28307.0,2,1391,0,10047,9055,,70800.0
1319559,241,4,577,5775,2021.0,57,3866,8,185,0,1545.0,110.0,0,1395.0,1.0,19940.0,47001,624.0,54458.0,42000.0,27557.0,30580.0,2,1391,0,9069,8728,,148999.0
1218649,2338,31,419,12340,2018.0,57,3323,1,194,0,1240.0,103.0,0,1353.0,1.0,15770.0,36961,600.0,30191.0,57500.0,18103.0,18103.0,2,1391,0,12362,9054,,83800.0
1316181,4858,58,543,3564,2019.0,57,3584,10,241,1,1800.0,111.0,0,2488.0,1.0,11060.0,25001,1107.0,14014.0,84000.0,25565.0,1279.0,2,956,0,16411,2040,,61988.0
1294734,1164,8,769,9863,2019.0,57,3440,8,157,0,1720.0,135.0,0,1998.0,2.0,27800.0,40001,1210.0,64457.0,84000.0,47396.0,58355.0,2,1391,0,15690,3718,,173000.0
1301950,4882,58,537,8233,2021.0,57,4083,1,187,0,1220.0,85.0,4,1198.0,2.0,13970.0,60761,714.0,51509.0,24467.0,21061.0,6486.0,2,1391,0,8654,2040,,110500.0
1309219,6553,88,612,15212,2008.0,57,794,8,36,0,1150.0,80.0,0,1495.0,4.0,11600.0,32339,1023.0,13609.0,84000.0,15281.0,15281.0,2,1391,0,14351,12402,,48800.0
1302862,2268,31,298,12,2017.0,57,2945,3,185,0,1345.0,93.0,0,1591.0,2.0,15980.0,41761,738.0,21893.0,123000.0,11960.0,11960.0,2,1391,0,2733,6028,,60000.0
1250384,3041,53,235,13263,2015.0,57,2472,1,119,0,1320.0,100.0,0,1499.0,2.0,19110.0,46970,684.0,21766.0,98200.0,27192.0,25069.0,2,1391,0,12418,6141,,45000.0
1327135,2836,44,311,17067,2015.0,57,2336,2,189,0,1615.0,135.0,0,2494.0,1.0,18320.0,62140,1792.0,32758.0,87337.0,39966.0,47953.0,2,1391,0,10222,10653,,42800.0
1332475,4217,51,381,4740,2018.0,57,3291,8,119,0,1705.0,135.0,0,1991.0,2.0,23440.0,31001,1202.0,49741.0,123000.0,42569.0,51597.0,2,1391,0,5008,14949,,128800.0
1303410,5062,62,558,4551,2017.0,57,3121,10,241,0,1460.0,111.0,0,1560.0,2.0,8430.0,30280,1107.0,12145.0,84000.0,20290.0,1015.0,2,753,0,8478,2040,,33800.0
1312727,2185,29,746,12,2017.0,57,2872,8,178,0,1280.0,112.0,4,1496.0,2.0,14870.0,50001,682.0,18483.0,76000.0,25340.0,5000.0,2,1391,0,14783,16821,,47800.0
1289213,1745,29,220,9261,2007.0,57,614,3,39,0,1220.0,92.0,0,1595.0,6.0,16910.0,42698,1110.0,15137.0,136000.0,18919.0,20811.0,2,1391,0,9671,15407,,60000.0
1331180,1950,29,340,12,2018.0,57,3149,1,178,0,1080.0,101.0,4,1496.0,2.0,13350.0,31001,682.0,18404.0,84000.0,19759.0,9759.0,2,1391,0,11137,13765,,56800.0
1312718,3852,51,157,3569,2013.0,57,1946,2,43,0,1430.0,115.0,0,1595.0,5.0,11830.0,99617,814.0,79694.0,119000.0,29909.0,23873.0,2,1391,0,3057,2178,,109800.0
1314855,745,8,68,14772,2017.0,57,2843,2,119,0,1540.0,135.0,0,1998.0,2.0,21170.0,47501,1210.0,40507.0,105000.0,40838.0,44174.0,2,1391,0,12866,5589,,84500.0
1309557,3667,51,191,3411,2008.0,57,902,2,36,0,1485.0,115.0,0,1796.0,5.0,11380.0,31335,1461.0,14260.0,165000.0,37067.0,37067.0,2,1391,0,11180,14523,,51800.0
1317904,1319,6,234,17824,2013.0,57,1957,6,11,0,2295.0,373.0,0,3993.0,5.0,28640.0,45586,4334.0,30212.0,108000.0,172046.0,281683.0,2,1391,0,13209,11992,,189800.0
1327356,7014,92,559,14086,2016.0,57,2499,2,185,0,1480.0,132.0,0,1798.0,1.0,14400.0,50089,976.0,25150.0,107529.0,31415.0,30981.0,2,1391,0,16566,2040,,38800.0
1331982,300,4,593,12408,2011.0,57,1503,6,36,0,1565.0,316.0,0,4163.0,6.0,30160.0,53932,5888.0,36836.0,84000.0,147728.0,147728.0,2,1391,0,15985,11866,,206000.0
1242698,47,4,127,17360,2016.0,57,2798,1,185,0,1165.0,70.0,0,999.0,5.0,15850.0,48556,392.0,17925.0,82308.0,21256.0,6759.0,2,1391,0,8777,2040,,48800.0
1296508,1451,14,279,7273,2022.0,57,4555,10,3,0,2000.0,111.0,2,1797.0,1.0,11920.0,23143,1107.0,22217.0,84000.0,47243.0,2363.0,2,1358,0,16162,2040,,114500.0
1320298,2185,29,746,1053,2017.0,57,2846,8,187,0,1280.0,112.0,4,1496.0,1.0,14750.0,53001,682.0,18276.0,94000.0,26381.0,5000.0,2,1391,0,9546,9592,,45000.0
1284413,270,4,579,1824,2019.0,57,3653,8,185,0,1795.0,185.0,0,1984.0,1.0,22720.0,35889,1194.0,61850.0,61000.0,43839.0,53375.0,2,1391,0,5115,2789,,164800.0
1300110,5916,88,152,12,2019.0,57,3730,4,119,0,1940.0,134.0,0,2493.0,2.0,26730.0,41001,1792.0,62153.0,54000.0,40098.0,48138.0,2,1391,0,5681,16303,,193888.0
1330766,1476,22,57,5675,1986.0,57,64,6,53,1,1480.0,111.0,0,3185.0,5.0,276380.0,59798,1107.0,7962.0,45000.0,28480.0,25241.0,2,1391,0,6395,14203,,368000.0
1323356,6831,88,388,16845,2015.0,57,2397,1,119,0,1249.0,90.0,0,1395.0,2.0,11950.0,56001,624.0,12171.0,84000.0,19158.0,9158.0,2,1391,0,16560,2040,,19800.0
1310439,2199,31,140,10835,2018.0,57,3021,3,235,0,1115.0,73.0,0,1368.0,3.0,12370.0,41400,608.0,19845.0,84000.0,7828.0,7828.0,2,1391,0,16219,2040,,48000.0
1293568,5369,65,491,16989,2014.0,57,2266,8,157,0,1940.0,250.0,0,2997.0,4.0,48410.0,77600,2382.0,57470.0,116000.0,71450.0,100610.0,2,1391,0,16452,1894,,95000.0
1303660,2276,31,368,12,2008.0,57,824,1,31,1,1122.0,48.0,0,1086.0,1.0,9090.0,30284,663.0,13267.0,130000.0,7890.0,7890.0,2,1391,0,9108,10358,,39800.0
1318439,5856,87,511,1216,2021.0,57,3978,2,149,0,1844.0,377.0,2,1797.0,1.0,16090.0,62600,5384.0,88663.0,87000.0,73264.0,58876.0,2,1391,0,8987,13030,,143800.0
1326224,6331,88,406,10440,2021.0,57,3961,8,165,0,1665.0,160.0,4,2487.0,2.0,25680.0,61001,1784.0,68692.0,60000.0,40927.0,34298.0,2,1391,0,16526,2040,,198000.0
1283313,7185,93,636,5034,2013.0,57,2002,2,11,0,1549.0,84.0,0,1560.0,2.0,9230.0,79237,1278.0,77240.0,135104.0,32318.0,22246.0,2,1391,0,15503,2685,,89998.0
1228430,5535,69,758,17459,2018.0,149,3870,6,91,0,2435.0,465.0,0,6592.0,1.0,15850.0,52309,8004.0,28968.0,8000.0,333792.0,572826.0,2,1391,0,13278,14209,,1280000.0
1307235,5252,65,209,3668,2015.0,57,2457,8,185,0,2115.0,220.0,0,3598.0,3.0,40090.0,59889,3322.0,76913.0,146053.0,83334.0,122002.0,2,1391,0,13155,1461,,126688.0
1312688,5062,62,558,6383,2016.0,57,2873,10,0,0,1460.0,111.0,0,1560.0,1.0,8130.0,28489,1107.0,8687.0,84000.0,19591.0,980.0,2,641,0,16443,2040,,24800.0
1292512,2765,43,263,5036,2015.0,57,2382,8,180,0,1841.0,177.0,0,1999.0,2.0,20800.0,60001,1212.0,56032.0,49973.0,63835.0,86903.0,2,1391,0,13006,2951,,71998.0
1303532,7186,93,636,15484,2017.0,57,2912,2,119,0,1615.0,140.0,0,1969.0,2.0,14500.0,48001,1764.0,29342.0,113000.0,28059.0,21283.0,2,1391,0,14512,12878,,58000.0
1272163,5758,85,315,13752,2021.0,57,4089,10,243,0,920.0,111.0,3,658.0,1.0,9200.0,29426,1107.0,22654.0,14000.0,15309.0,766.0,2,1188,0,15530,6852,,70800.0
1284084,4456,54,167,1097,2021.0,57,3951,3,184,0,945.0,59.0,0,1193.0,1.0,11910.0,41001,506.0,33113.0,19498.0,14397.0,5000.0,2,1391,0,9043,10475,,87800.0
1311624,4655,54,464,15620,2008.0,57,847,3,20,0,1313.0,80.0,0,1499.0,1.0,12680.0,27571,1026.0,12154.0,123928.0,18193.0,18193.0,2,1391,0,1075,12793,,55888.0
1314032,5644,83,347,3890,2016.0,57,2751,8,185,0,1682.0,177.0,0,1998.0,2.0,14990.0,48209,1210.0,24143.0,99000.0,19237.0,19237.0,2,1391,0,12818,15932,,48800.0
1290413,5786,85,675,9157,2023.0,57,4610,10,4,0,840.0,111.0,3,658.0,1.0,8830.0,59950,1107.0,58965.0,500.0,15101.0,756.0,2,1398,0,16761,2828,,86800.0
1316282,2080,29,274,4549,2024.0,57,4659,4,131,0,1920.0,242.0,4,1993.0,1.0,21780.0,102334,1204.0,112080.0,45.0,38060.0,40284.0,2,1391,0,11208,2616,,236988.0
1319901,2039,29,524,19607,2022.0,57,4135,10,0,0,940.0,111.0,3,658.0,2.0,8620.0,31569,1107.0,24364.0,33000.0,18213.0,911.0,2,1210,0,6044,13403,,66500.0
1314076,3372,49,14,2545,2019.0,57,3450,8,185,0,1576.0,121.0,0,1998.0,1.0,16650.0,39889,1210.0,45230.0,100773.0,29591.0,33428.0,2,1391,0,8806,2040,,102000.0
1326700,3828,51,221,17710,2016.0,57,2600,7,185,0,1460.0,90.0,0,1595.0,2.0,16510.0,53000,740.0,27283.0,112638.0,31065.0,30491.0,2,1391,0,3190,5722,,48000.0
1327337,6376,88,408,18530,2016.0,57,2618,10,0,1,1760.0,111.0,0,2982.0,3.0,15500.0,5591,1107.0,1147.0,84000.0,29761.0,1489.0,2,523,0,16527,2040,,31800.0
1212903,5692,83,430,8481,2008.0,57,860,1,36,0,1390.0,184.0,0,1994.0,6.0,16070.0,31553,1809.0,14333.0,84000.0,25958.0,25958.0,2,1391,0,11023,2433,,73000.0
1303659,1157,8,767,18208,2011.0,57,1523,8,36,0,1805.0,225.0,0,2979.0,5.0,17720.0,53932,3071.0,38004.0,140000.0,60060.0,60060.0,2,1391,0,8238,1373,,124888.0
1272892,7210,93,733,18762,2018.0,57,3450,1,185,0,1441.0,140.0,0,1969.0,1.0,15180.0,39889,1176.0,38703.0,65404.0,22799.0,23919.0,2,1391,0,5147,6374,,91000.0
1319491,1777,29,220,16918,2008.0,57,818,3,10,0,1219.0,103.0,0,1799.0,6.0,13670.0,32121,1467.0,13605.0,84000.0,24242.0,24242.0,2,1391,0,9974,16506,,57888.0
1289201,4179,51,375,7341,2017.0,57,3021,8,185,0,1435.0,90.0,0,1595.0,2.0,18470.0,41400,740.0,35452.0,73000.0,28082.0,31315.0,2,1391,0,2450,5983,,83000.0
1325042,6306,88,406,12,2016.0,57,2548,8,185,0,1610.0,111.0,0,1986.0,2.0,17190.0,47604,1196.0,23697.0,94448.0,28882.0,27435.0,2,1391,0,4329,4849,,44800.0
1321343,3520,51,130,5084,2018.0,57,3309,1,185,0,1375.0,120.0,0,1332.0,2.0,19950.0,31101,586.0,39890.0,58400.0,32046.0,36865.0,2,1391,0,15177,9159,,108800.0
1312074,3972,51,284,7251,2006.0,57,501,2,39,0,1690.0,120.0,0,1796.0,2.0,11400.0,52491,1461.0,15100.0,146208.0,57169.0,40019.0,2,1391,0,9277,6376,,32800.0
1322558,3915,51,218,12,2015.0,57,2352,10,241,1,1420.0,111.0,0,1461.0,2.0,10630.0,46801,1107.0,5193.0,84000.0,24963.0,1249.0,2,376,0,16326,2040,,11800.0
1296312,3358,49,251,4738,2021.0,57,3881,8,235,0,1256.0,85.0,0,1496.0,1.0,16040.0,48002,682.0,47949.0,58000.0,19638.0,19638.0,2,1391,0,1010,11677,,120800.0
1331545,67,4,132,12,2016.0,57,2544,2,166,0,1310.0,92.0,0,1395.0,1.0,15180.0,47889,624.0,17773.0,57236.0,25118.0,17166.0,2,1391,0,16075,2040,,35000.0
1308375,3661,51,191,11763,2016.0,57,2531,2,193,0,1425.0,115.0,0,1595.0,4.0,19710.0,55001,740.0,30742.0,78000.0,35589.0,36825.0,2,1391,0,2609,3366,,56000.0
1305306,2390,34,362,19689,2014.0,57,2163,9,241,0,7240.0,111.0,0,7790.0,1.0,15850.0,49901,1107.0,2434.0,296566.0,52484.0,2625.0,2,308,0,9205,5473,,35000.0
1316748,2635,39,647,2366,2020.0,57,3849,8,185,0,1323.0,103.0,0,1353.0,1.0,15660.0,47506,600.0,47120.0,35000.0,21202.0,21683.0,2,1391,0,13902,6894,,115888.0
1328014,7200,93,639,7105,2019.0,57,3839,2,185,0,1695.0,187.0,0,1969.0,3.0,20770.0,47001,1176.0,65559.0,45000.0,38681.0,46154.0,2,1391,0,6852,12717,,159800.0
1325217,2002,29,441,12,2007.0,57,558,1,39,0,1040.0,60.0,0,1339.0,1.0,11640.0,42564,885.0,13457.0,134000.0,14400.0,15840.0,2,1391,0,6691,10746,,36800.0
1332543,96,4,132,2380,2021.0,57,3893,1,182,0,1395.0,110.0,4,1498.0,1.0,17670.0,63002,684.0,53895.0,22000.0,27268.0,15176.0,2,1391,0,11966,5613,,126800.0
1322221,2062,29,274,12,2015.0,57,2365,4,119,0,1855.0,129.0,0,2356.0,2.0,17940.0,60001,1630.0,24568.0,127000.0,28590.0,32026.0,2,1391,0,5341,6511,,36800.0
1300646,49,4,127,4338,2020.0,57,4037,1,189,0,1200.0,85.0,0,999.0,1.0,15070.0,57010,392.0,61952.0,16000.0,23987.0,25582.0,2,1391,0,7290,2115,,125800.0
1303309,511,8,24,8186,2021.0,57,3912,1,185,0,1380.0,80.0,0,1499.0,2.0,15390.0,47821,684.0,60333.0,75813.0,31169.0,35637.0,2,1391,0,2078,11969,,125998.0
1315299,1048,8,486,4793,2010.0,57,1469,6,36,0,1675.0,309.0,0,3999.0,5.0,19590.0,45586,5527.0,30212.0,150000.0,85932.0,85932.0,2,1391,0,15993,4169,,129800.0
